formulation_group_fig4,pH_condition_fig4,source_videos,n_videos,marker_time_h,marker_y,marker_interval_h
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,0.0,1.2251764518944985,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,2.0,2.105987200421619,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,4.0,2.593738776682443,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,6.0,2.9348997988130114,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,8.0,3.203263996115419,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,10.0,3.3673635918169156,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,12.0,3.407102685305948,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,14.0,3.3973648797689386,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,16.0,3.275288641891602,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,18.0,3.1106824517277065,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,20.0,2.90339382760096,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,22.0,2.7479069299220864,2.0
01 high viscosity,pH 1.2,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,1,24.0,2.375816998301976,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,0.0,1.2352320590631625,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,2.0,2.0717796449554617,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,4.0,2.5322265515513953,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,6.0,2.893785430378722,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,8.0,3.320001530441096,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,10.0,3.57995976363583,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,12.0,3.6965377329362497,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,14.0,3.792895016189753,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,16.0,3.815497317724021,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,18.0,3.752047899247148,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,20.0,3.61737904843935,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,22.0,3.494549405218982,2.0
01 high viscosity,pH 4.5,01-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,24.0,3.3940440927198163,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,0.0,1.2091541413844444,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,2.0,2.066940677682414,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,4.0,2.4649330424392026,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,6.0,2.9692881583869055,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,8.0,3.2559226986203873,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,10.0,3.4822044690769736,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,12.0,3.8280518777371384,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,14.0,4.057042805973711,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,16.0,4.284752363999958,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,18.0,4.359272978137821,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,20.0,4.415794736252269,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,22.0,4.503861139290065,2.0
01 high viscosity,pH 6.8,01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,24.0,4.514862235237099,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,0.0,1.155418020801885,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,2.0,1.8347145216572838,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,4.0,2.1887756841712696,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,6.0,2.35833863147987,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,8.0,2.3386144310856167,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,10.0,1.9897701965937948,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,12.0,1.540577172388073,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,14.0,1.2003027935143584,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,16.0,0.9726956614395567,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,18.0,0.580227139533645,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,20.0,0.3938421921895256,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,22.0,0.34468735015716845,2.0
02 low viscosity,pH 1.2,02-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,24.0,0.40612868280381464,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,0.0,1.2087402763496644,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,2.0,1.9988928931527092,2.0
02 low viscosity,pH 4.5,02-pH4.5T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1,4.0,2.4550425439165693,2.0
