formulation_group_fig4,pH_condition_fig4,real_time_h,n_videos,mean_normalized_projected_area,sd_normalized_projected_area,source_videos,y_axis_min,y_axis_max
01 high viscosity,pH 1.2,0.0,1,1.0,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,0.1666666666666666,1,1.271686817440943,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,0.3333333333333333,1,1.4038425382425526,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,0.5,1,1.494622430202623,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,0.6666666666666666,1,1.6011345821039806,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,0.8333333333333334,1,1.692052151694101,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,1.0,1,1.7805788678161516,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,1.1666666666666667,1,1.859801240875156,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,1.3333333333333333,1,1.91226085913802,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,1.5,1,1.9696294991347036,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,1.6666666666666667,1,2.02400772179052,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,1.8333333333333333,1,2.056333837164374,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
01 high viscosity,pH 1.2,2.0,1,2.103184202306174,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,0.0,5.0
