formulation_group_fig4,pH_condition_fig4,real_time_h,n_videos,mean_smoothed_normalized_projected_area,sd_smoothed_normalized_projected_area,source_videos,raw_points_in_trace,downsample_interval_h,smoothing_window_h,smoothing_window_points,smoothing_method,downsampling_method,y_axis_min,y_axis_max,x_axis_min,x_axis_max,x_axis_ticks
01 high viscosity,pH 1.2,0.0,1,1.2251764518944985,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,0.3333333333333333,1,1.3542572735980198,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,0.6666666666666666,1,1.5944461140118817,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,1.0,1,1.7691655403254818,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,1.3333333333333333,1,1.9092556377509105,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,1.6666666666666665,1,2.0130832239067584,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,2.0,1,2.105987200421619,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,2.333333333333333,1,2.1978027834567744,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,2.6666666666666665,1,2.283595488318867,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
01 high viscosity,pH 1.2,3.0,1,2.359748982591922,0.0,01-pH1.2T-亲水凝胶空白制剂-251217-Side-24h-750X-2.mp4,145,0.3333333333333333,0.75,5,centered moving average on extracted normalized projected area,linear interpolation to regular 0.5 h grid after smoothing,0.0,5.0,0.0,24.8,"0,4,8,12,16,20,24"
