source_video,frame_index,video_time_s,real_time_h,projected_area_px,normalized_projected_area,threshold_used,roi_y_min,roi_y_max,mask_area_valid,qc_flag,formulation_group,pH_condition,viscosity_group,replicate_id,include_for_fig4,mapping_used,parsing_status
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,0,0.0,0.0,687077,1.0,107.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,20,0.8,0.16666666666666666,856107,1.246013183384104,103.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,40,1.6,0.3333333333333333,949162,1.3814492407692296,101.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,60,2.4,0.5,1041805,1.5162856564839167,100.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,80,3.2,0.6666666666666666,1102398,1.6044751898258856,99.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,100,4.0,0.8333333333333334,1164445,1.694780934305762,98.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,120,4.8,1.0,1227203,1.7861214972994293,97.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,140,5.6,1.1666666666666667,1268435,1.8461322384536232,96.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,160,6.4,1.3333333333333333,1300763,1.8931837334097925,96.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,180,7.2,1.5,1335505,1.9437486628136293,95.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,200,8.0,1.6666666666666667,1363817,1.9849551069239693,95.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,220,8.8,1.8333333333333335,1391214,2.024829822567194,95.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,240,9.6,2.0,1417218,2.0626771089703193,95.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,260,10.4,2.1666666666666665,1451071,2.1119481513716805,95.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,280,11.2,2.3333333333333335,1477417,2.1502931985789075,95.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,300,12.0,2.5,1504816,2.1901708251040275,95.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,320,12.8,2.6666666666666665,1514464,2.2042129193671163,95.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,340,13.6,2.8333333333333335,1538724,2.2395219167575102,95.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,360,14.4,3.0,1566883,2.2805056784028572,94.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,380,15.2,3.1666666666666665,1736961,2.528044163900116,94.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,400,16.0,3.3333333333333335,1617449,2.3541015053625722,94.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,420,16.8,3.5,1633594,2.377599599462651,92.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,440,17.6,3.666666666666667,1649757,2.4011238914997883,92.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,460,18.4,3.833333333333333,1676070,2.4394209091557424,91.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,480,19.2,4.0,1697280,2.470290811655753,91.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,500,20.0,4.166666666666667,1712716,2.492756998123937,91.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,520,20.8,4.333333333333333,1732171,2.5210726017607925,91.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,540,21.6,4.500000000000001,1894146,2.7568176492591077,90.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,560,22.4,4.666666666666667,1916890,2.7899201981728394,90.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,580,23.2,4.833333333333333,1929212,2.8078541415299885,90.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,600,24.0,5.0,1943112,2.828084770702556,90.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,620,24.8,5.166666666666667,1962892,2.8568733926474033,89.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,640,25.6,5.333333333333333,1975736,2.8755670761792347,89.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,660,26.4,5.5,1985677,2.8900356146399893,89.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,680,27.2,5.666666666666667,2002164,2.9140314695441702,89.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,700,28.0,5.833333333333333,2023227,2.9446874222248742,88.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,720,28.8,6.0,2042107,2.972166147316822,88.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,740,29.6,6.166666666666667,2063389,3.003140841565065,87.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,760,30.4,6.333333333333333,2069761,3.012414911283597,88.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,780,31.2,6.5,2095498,3.049873594953695,87.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,800,32.0,6.666666666666667,2105486,3.0644105391389904,87.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,820,32.8,6.833333333333332,2121427,3.0876117232857454,87.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,840,33.6,7.0,2134333,3.106395644156332,87.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,860,34.4,7.166666666666667,2153726,3.1346210104544325,87.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,880,35.2,7.333333333333334,2181833,3.1755290891705004,86.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,900,36.0,7.5,2196060,3.196235647532955,86.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,920,36.8,7.666666666666666,2210775,3.2176524610778703,86.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,940,37.6,7.833333333333333,2220263,3.2314616847893323,86.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,960,38.4,8.0,2232973,3.249960339234176,86.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,980,39.2,8.166666666666668,2250009,3.2747552312186263,86.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1000,40.0,8.333333333333334,2271328,3.305783776781933,85.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1020,40.8,8.499999999999998,2287393,3.3291654356061984,85.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1040,41.6,8.666666666666666,2296634,3.3426151654035867,85.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1060,42.4,8.833333333333334,2308469,3.359840309019222,85.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1080,43.2,9.000000000000002,2326708,3.386386096463715,84.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1100,44.0,9.166666666666666,2339874,3.4055484319806952,84.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1120,44.8,9.333333333333334,2345430,3.413634861885931,84.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1140,45.6,9.5,2354020,3.4261370996263882,84.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1160,46.4,9.666666666666666,2364446,3.4413115269467616,84.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1180,47.2,9.833333333333334,2386899,3.473990542544722,83.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1200,48.0,10.0,2391021,3.4799898701310044,83.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1220,48.8,10.166666666666666,2406389,3.5023570866147464,83.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1240,49.6,10.333333333333334,2413958,3.5133733191476355,83.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1260,50.4,10.5,2447284,3.5618773441695764,82.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1280,51.2,10.666666666666666,2462749,3.584385738425242,82.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1300,52.0,10.833333333333334,2472646,3.5987902374842995,82.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1320,52.8,11.0,2509672,3.652679394012607,81.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1340,53.6,11.166666666666666,2523756,3.673177824319545,81.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1360,54.4,11.333333333333334,2535146,3.689755296713469,81.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1380,55.2,11.5,2556681,3.7210982175214715,81.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1400,56.0,11.666666666666666,2601487,3.786310704622626,81.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1420,56.8,11.833333333333334,2624166,3.8193186498747593,81.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1440,57.6,12.0,2632432,3.8313493247481722,80.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1460,58.4,12.166666666666666,2642726,3.8463316338634534,80.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
