model,n,mean,sd,median,q1,q3,panel
GPT-5-mini,3,100.0,0.0,100.0,100.0,100.0,a
Qwen3.6-plus,3,95.83333333333333,7.216878364870322,100.0,93.75,100.0,a
GLM-4.6V,3,91.66666666666667,7.216878364870322,87.5,87.5,93.75,a
Kimi-K2.5,3,91.66666666666667,7.216878364870322,87.5,87.5,93.75,a
GPT-5-mini,3,0.91,0.010000000000000009,0.91,0.905,0.915,c
Qwen3.6-plus,3,0.88,0.010000000000000009,0.88,0.875,0.885,c
GLM-4.6V,3,0.84,0.010000000000000009,0.84,0.835,0.845,c
Kimi-K2.5,3,0.81,0.009999999999999953,0.81,0.805,0.815,c
GPT-5-mini,3,0.94,0.009999999999999953,0.94,0.935,0.945,b
Qwen3.6-plus,3,0.89,0.010000000000000009,0.89,0.885,0.895,b
GLM-4.6V,3,0.8366666666666666,0.01527525231651948,0.84,0.83,0.845,b
Kimi-K2.5,3,0.8000000000000002,0.010000000000000009,0.8,0.795,0.805,b
