time_h,n,mean,sd,formulation_group
0.5,3,0.014333333333333335,0.015300689890038001,Standard
1.0,3,0.04511111111111111,0.01079780498956119,Standard
2.0,3,0.15233333333333335,0.015044378795195677,Standard
4.0,3,0.4673333333333333,0.041830345178802616,Standard
6.0,3,0.3544444444444445,0.17195811290134758,Standard
8.0,3,0.04555555555555555,0.031209566434621243,Standard
12.0,2,0.017666666666666667,0.0014142135623730963,Standard
16.0,2,0.0115,0.004006938426723768,Standard
20.0,2,0.005833333333333333,0.0021213203435596424,Standard
24.0,2,0.001666666666666667,0.004242640687119285,Standard
0.5,3,0.12022222222222222,0.11816670584547226,GPT-5-mini
1.0,3,0.11544444444444445,0.09175409971666015,GPT-5-mini
2.0,3,0.24111111111111108,0.07233358934926529,GPT-5-mini
4.0,3,0.59,0.05291817583149794,GPT-5-mini
6.0,3,0.3433333333333333,0.04107851560663368,GPT-5-mini
8.0,3,0.023555555555555555,0.0075006172585500765,GPT-5-mini
12.0,1,0.018000000000000002,,GPT-5-mini
16.0,1,0.0013333333333333333,,GPT-5-mini
20.0,1,0.006999999999999999,,GPT-5-mini
24.0,1,0.0036666666666666666,,GPT-5-mini
0.5,3,0.1386666666666667,0.08582993520781532,Qwen3.6-plus
1.0,3,0.12533333333333332,0.04823668497915024,Qwen3.6-plus
2.0,3,0.1987777777777778,0.03453554261487293,Qwen3.6-plus
4.0,3,0.5766666666666667,0.1674139911848602,Qwen3.6-plus
6.0,3,0.3567777777777778,0.1260830120433595,Qwen3.6-plus
8.0,3,0.051,0.022556102894289557,Qwen3.6-plus
12.0,1,0.012666666666666666,,Qwen3.6-plus
16.0,1,0.005666666666666667,,Qwen3.6-plus
20.0,1,0.0006666666666666666,,Qwen3.6-plus
24.0,1,0.006999999999999999,,Qwen3.6-plus
0.5,3,0.18700000000000003,0.12265942007580721,Gemini 2.5 Flash
1.0,3,0.2021111111111111,0.13455784932442558,Gemini 2.5 Flash
2.0,3,0.2597777777777778,0.03491152839413959,Gemini 2.5 Flash
4.0,3,0.5624444444444444,0.0630249803502401,Gemini 2.5 Flash
6.0,3,0.3331111111111111,0.055238204707061735,Gemini 2.5 Flash
8.0,3,0.03366666666666667,0.005507570547286103,Gemini 2.5 Flash
12.0,1,0.017666666666666667,,Gemini 2.5 Flash
16.0,1,0.007333333333333333,,Gemini 2.5 Flash
20.0,1,0.004666666666666667,,Gemini 2.5 Flash
24.0,1,0.002,,Gemini 2.5 Flash
