source_file,formulation_group,formulation_label,drug_label,replicate_file_id,time_h,uv_signal,relative_uv_signal_per_h,AUC_0_8h_denominator,integral_0_8h
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,0.0,0.0,0.0,1.6953333333333336,0.9999999999999998
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,0.5,0.005333333333333333,0.003145890680298859,1.6953333333333336,0.9999999999999998
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,1.0,0.050666666666666665,0.029885961462839162,1.6953333333333336,0.9999999999999998
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,2.0,0.138,0.08139992135273298,1.6953333333333336,0.9999999999999998
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,4.0,0.448,0.2642548171451042,1.6953333333333336,0.9999999999999998
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,6.0,0.254,0.14982304364923316,1.6953333333333336,0.9999999999999998
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,8.0,0.043666666666666666,0.025756979944946908,1.6953333333333336,0.9999999999999998
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,0.0,0.0,0.0,2.5213333333333336,0.9999999999999999
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,0.5,0.032,0.012691697514542568,2.5213333333333336,0.9999999999999999
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,1.0,0.052,0.020624008461131674,2.5213333333333336,0.9999999999999999
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,2.0,0.168,0.06663141195134849,2.5213333333333336,0.9999999999999999
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,4.0,0.5153333333333333,0.2043892120571126,2.5213333333333336,0.9999999999999999
