analysis,value,group,n_total,group_ns,replicate_definition,test,comparison,statistic,p_value,p_adjusted,correction,notes
Fig. 5b relative early release from file-level averaged technical measurements,relative_early_release_mean_curve,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent Excel record file after averaging the three technical UV measurement columns within that file.,Shapiro-Wilk normality check,Standard,0.8074743250204409,0.13246982008005936,,,
Fig. 5b relative early release from file-level averaged technical measurements,relative_early_release_mean_curve,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent Excel record file after averaging the three technical UV measurement columns within that file.,Shapiro-Wilk normality check,GPT-5-mini,0.983237394812139,0.7520335179483162,,,
Fig. 5b relative early release from file-level averaged technical measurements,relative_early_release_mean_curve,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent Excel record file after averaging the three technical UV measurement columns within that file.,Shapiro-Wilk normality check,Qwen3.6-plus,0.9438795604508557,0.543216596964651,,,
Fig. 5b relative early release from file-level averaged technical measurements,relative_early_release_mean_curve,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent Excel record file after averaging the three technical UV measurement columns within that file.,Shapiro-Wilk normality check,Gemini 2.5 Flash,0.8755720106826947,0.31149289927838775,,,
Fig. 5b relative early release from file-level averaged technical measurements,relative_early_release_mean_curve,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent Excel record file after averaging the three technical UV measurement columns within that file.,Levene variance check,all groups,0.10017838479286181,0.9576591330530516,,,Median-centered Levene test used for variance check.
Fig. 5b relative early release from file-level averaged technical measurements,relative_early_release_mean_curve,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent Excel record file after averaging the three technical UV measurement columns within that file.,One-way ANOVA,overall,1.9176615702563726,0.20525792178870145,,,Auto-selected parametric test. Levene p=0.957659.
Fig. 5b relative early release from file-level averaged technical measurements,relative_early_release_mean_curve,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent Excel record file after averaging the three technical UV measurement columns within that file.,Tukey HSD,GPT-5-mini vs Gemini 2.5 Flash,0.0302,,0.8978,Tukey HSD family-wise correction,reject=False; lower=-0.1098; upper=0.1703
Fig. 5b relative early release from file-level averaged technical measurements,relative_early_release_mean_curve,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent Excel record file after averaging the three technical UV measurement columns within that file.,Tukey HSD,GPT-5-mini vs Qwen3.6-plus,-0.0148,,0.9856,Tukey HSD family-wise correction,reject=False; lower=-0.1549; upper=0.1252
Fig. 5b relative early release from file-level averaged technical measurements,relative_early_release_mean_curve,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent Excel record file after averaging the three technical UV measurement columns within that file.,Tukey HSD,GPT-5-mini vs Standard,-0.0719,,0.409,Tukey HSD family-wise correction,reject=False; lower=-0.2119; upper=0.0682
Fig. 5b relative early release from file-level averaged technical measurements,relative_early_release_mean_curve,formulation_group,12,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one independent Excel record file after averaging the three technical UV measurement columns within that file.,Tukey HSD,Gemini 2.5 Flash vs Qwen3.6-plus,-0.045,,0.7378,Tukey HSD family-wise correction,reject=False; lower=-0.1851; upper=0.095
