source_file,formulation_group,formulation_label,drug_label,replicate_file_id,measurement_id,AUC_0_4h,AUC_0_8h,relative_early_release,baseline_added,interpolation_used_4h,interpolation_used_8h,excluded_reason
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,0.6975,1.6985,0.4106564615837504,True,False,False,
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,0.69525,1.6892500000000001,0.41157318336539883,True,False,False,
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,0.6942499999999999,1.6982499999999998,0.40880317974385394,True,False,False,
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,0.8245,2.5175,0.3275074478649454,True,False,False,
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,0.8187500000000001,2.52175,0.32467532467532473,True,False,False,
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,0.82375,2.52475,0.3262699277156154,True,False,False,
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,0.912,2.3720000000000003,0.3844856661045531,True,False,False,
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,0.9187500000000001,2.3687500000000004,0.38786279683377306,True,False,False,
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,0.91,2.37,0.38396624472573837,True,False,False,
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,1.051,2.402,0.4375520399666944,True,False,False,
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,1.048,2.4059999999999997,0.4355777223607648,True,False,False,
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,1.04575,2.3927500000000004,0.437049420123289,True,False,False,
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,0.82825,1.93525,0.42798088102312365,True,False,False,
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas2,0.829,1.94,0.42731958762886596,True,False,False,
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas3,0.8335,1.9455,0.4284245695194038,True,False,False,
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,meas1,0.68575,1.6457499999999998,0.41667932553547016,True,False,False,
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,meas2,0.69175,1.6557500000000003,0.41778650158538416,True,False,False,
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,meas3,0.7,1.676,0.41766109785202865,True,False,False,
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,meas1,1.05925,2.24025,0.4728266934493918,True,False,False,
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,meas2,1.0605,2.2955,0.4619908516663036,True,False,False,
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,meas3,1.061,2.283,0.46473937801138854,True,False,False,
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,meas1,1.3264999999999998,2.5555,0.5190765016630796,True,False,False,
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,meas2,1.3207499999999999,2.55375,0.5171806167400881,True,False,False,
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,meas3,1.3165,2.5485,0.5165783794388856,True,False,False,
