formulation_group,interval_end_h,n_files,interval_start_h,duration_h,mean_interval_auc_fraction,sd_interval_auc_fraction,mean_sum_interval_auc_fraction_0_8h,y_variable,normalization_formula,measurement_interpretation,auc_method
GPT-5-mini,0.5,3,0.0,0.5,0.026311240165305894,0.025064210350150367,1.0000000000000002,absorbance,interval_auc_fraction_i = absorbance_i * duration_i / sum(absorbance_j * duration_j for intervals from 0 to 8 h),Absorbance at each interval end is treated as the average absorbance over the preceding interval.,interval-average absorbance times duration; no trapezoidal interpolation
GPT-5-mini,1.0,3,0.5,0.5,0.025384684316990248,0.019649841572595528,1.0000000000000002,absorbance,interval_auc_fraction_i = absorbance_i * duration_i / sum(absorbance_j * duration_j for intervals from 0 to 8 h),Absorbance at each interval end is treated as the average absorbance over the preceding interval.,interval-average absorbance times duration; no trapezoidal interpolation
GPT-5-mini,2.0,3,1.0,1.0,0.10604485333748044,0.03036258945909186,1.0000000000000002,absorbance,interval_auc_fraction_i = absorbance_i * duration_i / sum(absorbance_j * duration_j for intervals from 0 to 8 h),Absorbance at each interval end is treated as the average absorbance over the preceding interval.,interval-average absorbance times duration; no trapezoidal interpolation
GPT-5-mini,4.0,3,2.0,2.0,0.5190388297631324,0.0354521132937679,1.0000000000000002,absorbance,interval_auc_fraction_i = absorbance_i * duration_i / sum(absorbance_j * duration_j for intervals from 0 to 8 h),Absorbance at each interval end is treated as the average absorbance over the preceding interval.,interval-average absorbance times duration; no trapezoidal interpolation
GPT-5-mini,6.0,3,4.0,2.0,0.3023357282819581,0.034862173430005944,1.0000000000000002,absorbance,interval_auc_fraction_i = absorbance_i * duration_i / sum(absorbance_j * duration_j for intervals from 0 to 8 h),Absorbance at each interval end is treated as the average absorbance over the preceding interval.,interval-average absorbance times duration; no trapezoidal interpolation
GPT-5-mini,8.0,3,6.0,2.0,0.020884664135132985,0.0070836902984358725,1.0000000000000002,absorbance,interval_auc_fraction_i = absorbance_i * duration_i / sum(absorbance_j * duration_j for intervals from 0 to 8 h),Absorbance at each interval end is treated as the average absorbance over the preceding interval.,interval-average absorbance times duration; no trapezoidal interpolation
Gemini 2.5 Flash,0.5,3,0.0,0.5,0.04160736892009662,0.030408801264552646,1.0,absorbance,interval_auc_fraction_i = absorbance_i * duration_i / sum(absorbance_j * duration_j for intervals from 0 to 8 h),Absorbance at each interval end is treated as the average absorbance over the preceding interval.,interval-average absorbance times duration; no trapezoidal interpolation
Gemini 2.5 Flash,1.0,3,0.5,0.5,0.04275351467903641,0.02494266296022266,1.0,absorbance,interval_auc_fraction_i = absorbance_i * duration_i / sum(absorbance_j * duration_j for intervals from 0 to 8 h),Absorbance at each interval end is treated as the average absorbance over the preceding interval.,interval-average absorbance times duration; no trapezoidal interpolation
Gemini 2.5 Flash,2.0,3,1.0,1.0,0.11233863409252894,0.0077951561816919064,1.0,absorbance,interval_auc_fraction_i = absorbance_i * duration_i / sum(absorbance_j * duration_j for intervals from 0 to 8 h),Absorbance at each interval end is treated as the average absorbance over the preceding interval.,interval-average absorbance times duration; no trapezoidal interpolation
Gemini 2.5 Flash,4.0,3,2.0,2.0,0.48714960472610036,0.03525913806037357,1.0,absorbance,interval_auc_fraction_i = absorbance_i * duration_i / sum(absorbance_j * duration_j for intervals from 0 to 8 h),Absorbance at each interval end is treated as the average absorbance over the preceding interval.,interval-average absorbance times duration; no trapezoidal interpolation
