formulation_group,interval_end_h,n_files,interval_start_h,interval_mid_h,mean_interval_auc_fraction,sd_interval_auc_fraction,mean_sum_interval_auc_fraction_0_8h,normalization_formula,y_axis_definition
GPT-5-mini,0.5,3,0.0,0.25,0.01226295916419831,0.011596339380244609,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
GPT-5-mini,1.0,3,0.5,0.75,0.02413214112881158,0.020609864303927885,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
GPT-5-mini,2.0,3,1.0,1.5,0.07375322110259515,0.031310733374541724,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
GPT-5-mini,4.0,3,2.0,3.0,0.3463588602713779,0.003928858985005311,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
GPT-5-mini,6.0,3,4.0,5.0,0.38993702351696147,0.043455736096423066,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
GPT-5-mini,8.0,3,6.0,7.0,0.1535557948160556,0.02349577727173016,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Gemini 2.5 Flash,0.5,3,0.0,0.25,0.01948118812770694,0.014193778850999443,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Gemini 2.5 Flash,1.0,3,0.5,0.75,0.039477256155342845,0.022116342704855532,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Gemini 2.5 Flash,2.0,3,1.0,1.5,0.09280380852351029,0.025375571800645882,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Gemini 2.5 Flash,4.0,3,2.0,3.0,0.3349538282943281,0.014923931768718098,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Gemini 2.5 Flash,6.0,3,4.0,5.0,0.36448544823861423,0.031212627125978123,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Gemini 2.5 Flash,8.0,3,6.0,7.0,0.14879847066049748,0.013630320173009467,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Qwen3.6-plus,0.5,3,0.0,0.25,0.015270888643696719,0.010829477024164723,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Qwen3.6-plus,1.0,3,0.5,0.75,0.028766336760594494,0.01675016085730455,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Qwen3.6-plus,2.0,3,1.0,1.5,0.06998493263622547,0.021518193179039226,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Qwen3.6-plus,4.0,3,2.0,3.0,0.3276505461634167,0.011171497484779917,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Qwen3.6-plus,6.0,3,4.0,5.0,0.38956403132085016,0.03260964114776829,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Qwen3.6-plus,8.0,3,6.0,7.0,0.16876326447521642,0.018803374591750823,1.0,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Standard,0.5,3,0.0,0.25,0.0016044131130055785,0.0013587881951352306,0.9999999999999999,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Standard,1.0,3,0.5,0.75,0.007454293831180111,0.0014538850785197717,0.9999999999999999,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Standard,2.0,3,1.0,1.5,0.05153990747757007,0.0068537390690130715,0.9999999999999999,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Standard,4.0,3,2.0,3.0,0.32402488644735306,0.046160892342095146,0.9999999999999999,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Standard,6.0,3,4.0,5.0,0.41889348431517753,0.004819880091740844,0.9999999999999999,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
Standard,8.0,3,6.0,7.0,0.1964830148157135,0.04683740080037503,0.9999999999999999,"interval_auc_fraction = AUC(t_previous,t_current) / AUC_0_8h",interval contribution to total 0-8 h AUC; interval fractions sum to 1 per file
