formulation_group,time_h,n_files,mean_relative_uv_signal_per_h,sd_relative_uv_signal_per_h,mean_integral_0_8h,normalization_formula,y_axis_definition
GPT-5-mini,0.0,3,0.0,0.0,1.0,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
GPT-5-mini,0.5,3,0.04905183665679324,0.046385357520978436,1.0,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
GPT-5-mini,1.0,3,0.04747672785845308,0.036284881839881405,1.0,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
GPT-5-mini,2.0,3,0.10002971434673723,0.026339563739123287,1.0,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
GPT-5-mini,4.0,3,0.24632914592464072,0.023370102938769403,1.0,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
GPT-5-mini,6.0,3,0.14360787759232072,0.020375732737556152,1.0,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
GPT-5-mini,8.0,3,0.009947917223734849,0.0035349827387581296,1.0,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
Gemini 2.5 Flash,0.0,3,0.0,0.0,0.9999999999999999,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
Gemini 2.5 Flash,0.5,3,0.07792475251082776,0.056775115403997774,0.9999999999999999,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
Gemini 2.5 Flash,1.0,3,0.07998427211054364,0.0458818490180216,0.9999999999999999,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
Gemini 2.5 Flash,2.0,3,0.10562334493647696,0.005937003104126435,0.9999999999999999,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
Gemini 2.5 Flash,4.0,3,0.22933048335785114,0.02014394707210316,0.9999999999999999,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
Gemini 2.5 Flash,6.0,3,0.13515496488076315,0.012935360198647257,0.9999999999999999,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
Gemini 2.5 Flash,8.0,3,0.01364350577973437,0.0007904728267651571,0.9999999999999999,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
Qwen3.6-plus,0.0,3,0.0,0.0,1.0,relative_uv_signal_per_h = file_level_mean_absorbance(t) / AUC_0_8h,normalized absorbance density; trapezoidal integral over 0-8 h equals 1 per file
