"repo_path","original_path","original_filename","repo_filename","file_type","description","related_manuscript_section","related_figure_or_table","public_release_status","copied_status","notes"
"","D:\Claude code\.agents\skills\NEW_WORKFLOW_DSL.yml","NEW_WORKFLOW_DSL.yml","TOMO_chatflow.dsl","workflow_or_structured_config","Dify workflow DSL or workflow export candidate.","Workflow and skill-assisted language-model methods","Workflow figures / Methods","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
"","D:\Claude code\model-output-batch-analyzer\agents\openai.yaml","openai.yaml","openai.yaml","workflow_or_structured_config","Reusable model-output batch analysis skill module.","Workflow and skill-assisted language-model methods","Workflow figures / Methods","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
"","D:\Claude code\model-output-batch-analyzer\nifedipine_multimodal_model_map.csv","nifedipine_multimodal_model_map.csv","nifedipine_multimodal_model_map.csv","tabular_data","Reusable model-output batch analysis skill module.","Workflow and skill-assisted language-model methods","Workflow figures / Methods","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
"","D:\Claude code\model-output-batch-analyzer\README.md","README.md","README.md","text_document","Reusable model-output batch analysis skill module.","Workflow and skill-assisted language-model methods","Workflow figures / Methods","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
"","D:\Claude code\model-output-batch-analyzer\references\analysis-framework.md","analysis-framework.md","analysis-framework.md","text_document","Reusable model-output batch analysis skill module.","Workflow and skill-assisted language-model methods","Workflow figures / Methods","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
"","D:\Claude code\model-output-batch-analyzer\references\bert-score.md","bert-score.md","bert-score.md","text_document","Reusable model-output batch analysis skill module.","Workflow and skill-assisted language-model methods","Workflow figures / Methods","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
"","D:\Claude code\model-output-batch-analyzer\references\field-definitions.md","field-definitions.md","field-definitions.md","text_document","Reusable model-output batch analysis skill module.","Workflow and skill-assisted language-model methods","Workflow figures / Methods","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
"","D:\Claude code\model-output-batch-analyzer\references\label-extraction-rules.md","label-extraction-rules.md","label-extraction-rules.md","text_document","Reusable model-output batch analysis skill module.","Workflow and skill-assisted language-model methods","Workflow figures / Methods","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
"","D:\Claude code\model-output-batch-analyzer\SKILL.md","SKILL.md","SKILL.md","text_document","Reusable model-output batch analysis skill module.","Workflow and skill-assisted language-model methods","Workflow figures / Methods","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
"","D:\Claude code\split_md_for_dify_constraints.py","split_md_for_dify_constraints.py","split_md_for_dify_constraints.py","script","Batch or workflow execution helper script.","Workflow and skill-assisted language-model methods","","not_copied_review_required","skipped_excluded_review","Marked public/priority in inventory but present in exclusion or large-file review CSV, so it was not copied."
