primary_drug_label,primary_pH_label,model_bucket,same_count,different_count,unknown_count,total_count,same_ratio,different_ratio,unknown_ratio,repeat_group_count,inconsistent_repeat_group_count
咪唑斯汀,pH6.8,ALL,9,0,0,9,100.0,0.0,0.0,6,0
地若孕素,pH4.5,ALL,44,2,0,46,95.65,4.35,0.0,15,2
替米沙坦,pH1.2,ALL,78,39,0,117,66.67,33.33,0.0,15,1
替米沙坦,pH2.0,ALL,35,1,0,36,97.22,2.78,0.0,15,1
替米沙坦,unknown,ALL,0,1,1,2,0.0,50.0,50.0,0,0
硝苯地平,unknown,ALL,44,4,0,48,91.67,8.33,0.0,0,0
咪唑斯汀,pH6.8,slot_1,3,0,0,3,100.0,0.0,0.0,2,0
地若孕素,pH4.5,slot_1,16,0,0,16,100.0,0.0,0.0,5,0
替米沙坦,pH1.2,slot_1,27,12,0,39,69.23,30.77,0.0,5,0
替米沙坦,pH2.0,slot_1,12,0,0,12,100.0,0.0,0.0,5,0
硝苯地平,unknown,slot_1,15,1,0,16,93.75,6.25,0.0,0,0
咪唑斯汀,pH6.8,slot_2,3,0,0,3,100.0,0.0,0.0,2,0
地若孕素,pH4.5,slot_2,15,0,0,15,100.0,0.0,0.0,5,0
替米沙坦,pH1.2,slot_2,24,15,0,39,61.54,38.46,0.0,5,0
替米沙坦,pH2.0,slot_2,12,0,0,12,100.0,0.0,0.0,5,0
硝苯地平,unknown,slot_2,14,2,0,16,87.5,12.5,0.0,0,0
咪唑斯汀,pH6.8,slot_3,3,0,0,3,100.0,0.0,0.0,2,0
地若孕素,pH4.5,slot_3,13,2,0,15,86.67,13.33,0.0,5,2
替米沙坦,pH1.2,slot_3,27,12,0,39,69.23,30.77,0.0,5,1
替米沙坦,pH2.0,slot_3,11,1,0,12,91.67,8.33,0.0,5,1
硝苯地平,unknown,slot_3,15,1,0,16,93.75,6.25,0.0,0,0
替米沙坦,unknown,unassigned,0,1,1,2,0.0,50.0,50.0,0,0
