"manufacturer_pair","manufacturer_label","ChatGPT_profile","ChatGPT_replicates","DeepSeek_profile","DeepSeek_replicates","Kimi_profile","Kimi_replicates","Qwen_profile","Qwen_replicates"
"拜新同 vs 奥赛定","奥赛定","same_with_unknown","rep1:same; rep2:same; rep3:unknown","mixed_same_different","rep1:same; rep2:different; rep3:different","same_with_unknown","rep1:unknown; rep2:same; rep3:same","mixed_same_different","rep1:different; rep2:same; rep3:same"
"拜新同 vs 拜新同","拜新同","missing","","missing","","same_with_unknown","rep1:unknown; rep2:same; rep3:same","missing",""
"拜新同 vs 贝奇康","贝奇康","same_with_unknown","rep1:same; rep2:same; rep3:unknown","mixed_same_different","rep1:same; rep2:different; rep3:same","mixed_same_different","rep2:different; rep3:same","mixed_same_different","rep1:same; rep2:same; rep3:different"
"拜新同 vs 得欣通","得欣通","same_with_unknown","rep1:same; rep2:unknown","same_only","rep1:same; rep2:same; rep3:same","different_only","rep1:different","mixed_same_different","rep1:different; rep2:different; rep3:same"
"拜新同 vs 久保平","久保平","mixed_same_different","rep1:same; rep2:same; rep3:different","same_only","rep1:same; rep2:same; rep3:same","different_with_unknown","rep2:different; rep3:unknown","different_only","rep1:different; rep2:different; rep3:different"
"拜新同 vs 居安诺","居安诺","same_only","rep1:same; rep2:same; rep3:same","mixed_same_different","rep1:different; rep2:same; rep3:different","different_with_unknown","rep1:unknown; rep2:different","mixed_same_different","rep1:different; rep2:same; rep3:same"
"拜新同 vs 君保泰","君保泰","different_with_unknown","rep1:unknown; rep2:different; rep3:unknown","different_only","rep1:different; rep2:different; rep3:different","different_with_unknown","rep2:unknown; rep3:different","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 立方","立方","same_only","rep1:same; rep2:same; rep3:same","different_only","rep1:different; rep2:different; rep3:different","mixed_same_different","rep1:same; rep2:different; rep3:different","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 奈特","奈特","same_only","rep1:same; rep2:same; rep3:same","mixed_same_different","rep1:different; rep2:same; rep3:same","unknown_only","rep2:unknown; rep3:unknown","mixed_same_different","rep1:same; rep2:same; rep3:different"
"拜新同 vs 赛新同","赛新同","unknown_only","rep2:unknown; rep3:unknown","mixed_same_different","rep1:same; rep2:same; rep3:different","mixed_same_different","rep1:same; rep2:different; rep3:same","mixed_same_different","rep1:same; rep2:different; rep3:different"
"拜新同 vs 欣然","欣然","different_only","rep1:different; rep2:different; rep3:different","mixed_same_different","rep1:different; rep2:same; rep3:different","unknown_only","rep1:unknown","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 欣适平","欣适平","same_only","rep1:same; rep2:same; rep3:same","mixed_same_different","rep1:same; rep2:different; rep3:same","different_only","rep2:different","different_only","rep1:different; rep2:different; rep3:different"
"拜新同 vs 亚宝","亚宝","unknown_only","rep3:unknown","mixed_same_different","rep1:different; rep2:same; rep3:different","mixed_same_different","rep1:different; rep2:different; rep3:same","mixed_same_different","rep1:different; rep2:different; rep3:same"
"拜新同 vs 一品红","一品红","mixed_same_different","rep1:same; rep2:different; rep3:same","mixed_same_different","rep1:same; rep2:same; rep3:different","unknown_only","rep1:unknown; rep2:unknown","mixed_same_different","rep1:different; rep2:same; rep3:different"
"拜新同 vs 亿普","亿普","unknown_only","rep2:unknown; rep3:unknown","mixed_same_different","rep1:same; rep2:same; rep3:different","different_with_unknown","rep2:unknown; rep3:different","different_only","rep1:different; rep2:different; rep3:different"
"拜新同 vs 易释","易释","same_only","rep1:same; rep2:same; rep3:same","mixed_same_different","rep1:different; rep2:same; rep3:different","different_with_unknown","rep1:unknown; rep2:different; rep3:unknown","mixed_same_different","rep1:same; rep2:different; rep3:different"
