"manufacturer_pair","manufacturer_label","total_count","same_count","different_count","unknown_count","same_ratio_pct","different_ratio_pct","unknown_ratio_pct"
"拜新同 vs 欣然","欣然","10","2","7","1","20","70","10"
"拜新同 vs 君保泰","君保泰","11","1","7","3","9.09","63.64","27.27"
"拜新同 vs 亚宝","亚宝","10","3","6","1","30","60","10"
"拜新同 vs 立方","立方","12","5","7","0","41.67","58.33","0"
"拜新同 vs 欣适平","欣适平","10","5","5","0","50","50","0"
"拜新同 vs 亿普","亿普","10","2","5","3","20","50","30"
"拜新同 vs 久保平","久保平","11","5","5","1","45.45","45.45","9.09"
"拜新同 vs 易释","易释","12","5","5","2","41.67","41.67","16.67"
"拜新同 vs 居安诺","居安诺","11","6","4","1","54.55","36.36","9.09"
"拜新同 vs 赛新同","赛新同","11","5","4","2","45.45","36.36","18.18"
"拜新同 vs 一品红","一品红","11","5","4","2","45.45","36.36","18.18"
"拜新同 vs 得欣通","得欣通","9","5","3","1","55.56","33.33","11.11"
"拜新同 vs 贝奇康","贝奇康","11","7","3","1","63.64","27.27","9.09"
"拜新同 vs 奥赛定","奥赛定","12","7","3","2","58.33","25","16.67"
"拜新同 vs 奈特","奈特","11","7","2","2","63.64","18.18","18.18"
"拜新同 vs 拜新同","拜新同","3","2","0","1","66.67","0","33.33"
