"manufacturer_label","total_files","same_count","different_count","unknown_count","same_ratio_pct","different_ratio_pct","verdict_profile","manufacturer_pair"
"奥赛定","3","3","0","0","100","0","same_only","拜新同 vs 奥赛定"
"拜新同","3","3","0","0","100","0","same_only","拜新同 vs 拜新同"
"贝奇康","3","3","0","0","100","0","same_only","拜新同 vs 贝奇康"
"得欣通","3","3","0","0","100","0","same_only","拜新同 vs 得欣通"
"久保平","3","3","0","0","100","0","same_only","拜新同 vs 久保平"
"居安诺","3","3","0","0","100","0","same_only","拜新同 vs 居安诺"
"君保泰","3","3","0","0","100","0","same_only","拜新同 vs 君保泰"
"立方","3","3","0","0","100","0","same_only","拜新同 vs 立方"
"奈特","3","3","0","0","100","0","same_only","拜新同 vs 奈特"
"赛新同","3","3","0","0","100","0","same_only","拜新同 vs 赛新同"
"欣然","3","0","3","0","0","100","different_only","拜新同 vs 欣然"
"欣适平","3","3","0","0","100","0","same_only","拜新同 vs 欣适平"
"亚宝","3","2","1","0","66.67","33.33","mixed","拜新同 vs 亚宝"
"一品红","3","3","0","0","100","0","same_only","拜新同 vs 一品红"
"亿普","3","3","0","0","100","0","same_only","拜新同 vs 亿普"
"易释","3","3","0","0","100","0","same_only","拜新同 vs 易释"
