model_bucket,primary_drug_label,primary_pH_label,reference_manufacturer_label,manufacturer_label,manufacturer_pair,batch_pair,comparison_scope,repeat_group_base_key,repeat_group_model_key,replicate_count,complete_replicate_group,replicate_ids,replicate_1_verdict,replicate_2_verdict,replicate_3_verdict,replicate_1_path,replicate_2_path,replicate_3_path,consistency_status,consensus_verdict,same_count,different_count,unknown_count,potential_false_positive_count,potential_false_negative_count,potential_error_replicates,manual_review_flag
slot_1,咪唑斯汀,pH6.8,皿治林,奥尼捷,皿治林 vs 奥尼捷,,cross_manufacturer,咪唑斯汀 || pH6.8 || 皿治林 vs 奥尼捷,咪唑斯汀 || pH6.8 || 皿治林 vs 奥尼捷 || slot_1,1,0,0,,,,,,,insufficient,same,1,0,0,0,0,,1
slot_2,咪唑斯汀,pH6.8,皿治林,奥尼捷,皿治林 vs 奥尼捷,,cross_manufacturer,咪唑斯汀 || pH6.8 || 皿治林 vs 奥尼捷,咪唑斯汀 || pH6.8 || 皿治林 vs 奥尼捷 || slot_2,1,0,0,,,,,,,insufficient,same,1,0,0,0,0,,1
slot_3,咪唑斯汀,pH6.8,皿治林,奥尼捷,皿治林 vs 奥尼捷,,cross_manufacturer,咪唑斯汀 || pH6.8 || 皿治林 vs 奥尼捷,咪唑斯汀 || pH6.8 || 皿治林 vs 奥尼捷 || slot_3,1,0,0,,,,,,,insufficient,same,1,0,0,0,0,,1
slot_1,咪唑斯汀,pH6.8,皿治林,皿治林,皿治林 vs 皿治林,,same_manufacturer,咪唑斯汀 || pH6.8 || 皿治林 vs 皿治林,咪唑斯汀 || pH6.8 || 皿治林 vs 皿治林 || slot_1,2,0,"0,1",same,,,咪唑斯汀/side/231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0vs231016-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-1-1.docx,,,consistent,same,2,0,0,0,0,,0
slot_2,咪唑斯汀,pH6.8,皿治林,皿治林,皿治林 vs 皿治林,,same_manufacturer,咪唑斯汀 || pH6.8 || 皿治林 vs 皿治林,咪唑斯汀 || pH6.8 || 皿治林 vs 皿治林 || slot_2,2,0,"0,1",same,,,咪唑斯汀/side/231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0vs231016-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-1-2.docx,,,consistent,same,2,0,0,0,0,,0
slot_3,咪唑斯汀,pH6.8,皿治林,皿治林,皿治林 vs 皿治林,,same_manufacturer,咪唑斯汀 || pH6.8 || 皿治林 vs 皿治林,咪唑斯汀 || pH6.8 || 皿治林 vs 皿治林 || slot_3,2,0,"0,1",same,,,咪唑斯汀/side/231014-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-0vs231016-01-pH6.8T-咪唑斯汀缓释片10mg-皿治林-24h-Side-750X-1-3.docx,,,consistent,same,2,0,0,0,0,,0
slot_1,地若孕素,pH4.5,唯散宁,博律,唯散宁 vs 博律,WE127F vs DH2505,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 博律 || WE127F vs DH2505,地若孕素 || pH4.5 || 唯散宁 vs 博律 || WE127F vs DH2505 || slot_1,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs03-pH4.5T-地诺孕素片2mg-博律-DH2505-Side-15min-处理后原片-1-1.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs03-pH4.5T-地诺孕素片2mg-博律-DH2505-Side-15min-处理后原片-2-1.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs03-pH4.5T-地诺孕素片2mg-博律-DH2505-Side-15min-处理后原片-3-1.docx,consistent,same,3,0,0,0,0,,0
slot_2,地若孕素,pH4.5,唯散宁,博律,唯散宁 vs 博律,WE127F vs DH2505,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 博律 || WE127F vs DH2505,地若孕素 || pH4.5 || 唯散宁 vs 博律 || WE127F vs DH2505 || slot_2,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs03-pH4.5T-地诺孕素片2mg-博律-DH2505-Side-15min-处理后原片-1-2.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs03-pH4.5T-地诺孕素片2mg-博律-DH2505-Side-15min-处理后原片-2-2.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs03-pH4.5T-地诺孕素片2mg-博律-DH2505-Side-15min-处理后原片-3-2.docx,consistent,same,3,0,0,0,0,,0
slot_3,地若孕素,pH4.5,唯散宁,博律,唯散宁 vs 博律,WE127F vs DH2505,cross_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 博律 || WE127F vs DH2505,地若孕素 || pH4.5 || 唯散宁 vs 博律 || WE127F vs DH2505 || slot_3,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs03-pH4.5T-地诺孕素片2mg-博律-DH2505-Side-15min-处理后原片-1-3.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs03-pH4.5T-地诺孕素片2mg-博律-DH2505-Side-15min-处理后原片-2-3.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs03-pH4.5T-地诺孕素片2mg-博律-DH2505-Side-15min-处理后原片-3-3.docx,consistent,same,3,0,0,0,0,,0
slot_1,地若孕素,pH4.5,唯散宁,唯散宁,唯散宁 vs 唯散宁,WE127F vs WE127F,same_manufacturer,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F,地若孕素 || pH4.5 || 唯散宁 vs 唯散宁 || WE127F vs WE127F || slot_1,3,1,"1,2,3",same,same,same,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1-1.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-2-1.docx,地若孕素/pH4.5/side/01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-1vs01-pH4.5T-地诺孕素片2mg-唯散宁-WE127F-Side-15min-处理后原片-3-1.docx,consistent,same,3,0,0,0,0,,0
