group_type,group_value,file_count,supported_count,unsupported_count,verdict_same_count,verdict_different_count,verdict_unknown_count,avg_experiment_completeness_pct,avg_dimension_coverage_pct,avg_dimension_detail_score_pct,avg_mechanism_score_pct,avg_reasoning_score_pct,avg_structural_completeness_pct,avg_overall_quality_score_pct,comparison_table_rate_pct,reference_trace_rate_pct,placeholder_reference_rate_pct
OVERALL,ALL,258,258,0,210,47,1,83.72,100.0,99.59,30.96,84.53,99.71,83.96,99.61,100.0,88.37
MODEL_BUCKET,slot_1,86,86,0,73,13,0,83.14,100.0,99.62,30.05,84.98,99.71,83.78,100.0,100.0,94.19
MODEL_BUCKET,slot_2,85,85,0,68,17,0,83.13,100.0,99.61,32.18,84.85,99.71,84.08,100.0,100.0,82.35
MODEL_BUCKET,slot_3,85,85,0,69,16,0,84.51,100.0,99.54,30.45,84.38,99.71,84.01,100.0,100.0,90.59
MODEL_BUCKET,unassigned,2,2,0,0,1,1,100.0,100.0,100.0,40.0,57.3,100.0,84.59,50.0,100.0,0.0
DRUG,咪唑斯汀,9,9,0,9,0,0,94.44,100.0,99.76,35.33,80.0,100.0,86.15,100.0,100.0,77.78
DRUG,地若孕素,46,46,0,44,2,0,81.52,100.0,99.78,30.91,86.86,99.46,83.85,100.0,100.0,82.61
DRUG,替米沙坦,155,155,0,113,41,1,81.93,100.0,99.5,30.95,84.37,99.68,83.56,99.35,100.0,88.39
DRUG,硝苯地平,48,48,0,44,4,0,89.58,100.0,99.67,30.19,83.64,100.0,84.94,100.0,100.0,95.83
MANUFACTURER_PAIR,01 vs unknown,2,2,0,0,1,1,100.0,100.0,100.0,40.0,57.3,100.0,84.59,50.0,100.0,0.0
MANUFACTURER_PAIR,唯散宁 vs 博律,9,9,0,9,0,0,83.33,100.0,99.87,31.44,84.95,100.0,84.1,100.0,100.0,77.78
MANUFACTURER_PAIR,唯散宁 vs 唯散宁,10,10,0,9,1,0,75.0,100.0,99.95,31.2,87.42,97.5,82.41,100.0,100.0,80.0
MANUFACTURER_PAIR,唯散宁 vs 小仙片,9,9,0,9,0,0,83.33,100.0,99.51,29.0,86.76,100.0,83.96,100.0,100.0,100.0
MANUFACTURER_PAIR,唯散宁 vs 紫竹,9,9,0,9,0,0,83.33,100.0,99.7,32.67,87.18,100.0,84.6,100.0,100.0,66.67
MANUFACTURER_PAIR,唯散宁 vs 蒂诺安,9,9,0,8,1,0,83.33,100.0,99.88,30.22,87.92,100.0,84.37,100.0,100.0,88.89
