group_type,group_value,file_count,supported_count,unsupported_count,verdict_same_count,verdict_different_count,verdict_unknown_count,avg_experiment_completeness_pct,avg_dimension_coverage_pct,avg_dimension_detail_score_pct,avg_mechanism_score_pct,avg_reasoning_score_pct,avg_structural_completeness_pct,avg_overall_quality_score_pct,comparison_table_rate_pct,reference_trace_rate_pct,placeholder_reference_rate_pct,repeat_group_count,complete_repeat_group_count,consistent_repeat_group_count,inconsistent_repeat_group_count,potential_false_positive_count,potential_false_negative_count,repeat_consistency_rate_pct,bert_scored_count,avg_bert_f1_pct
OVERALL,ALL,189,189,0,77,57,55,23.63,78.9,55.22,8.48,22.33,50.13,40.93,26.46,26.46,25.4,63,50,23,20,10,6,53.49,0,0.0
MODEL_BUCKET,ChatGPT,48,48,0,44,4,0,89.58,100.0,99.67,30.19,83.64,100.0,84.94,100.0,100.0,95.83,16,16,15,1,0,1,93.75,0,0.0
MODEL_BUCKET,DIS GPT,16,16,0,0,0,16,0.0,98.44,54.14,0.0,0.0,14.06,29.92,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0
MODEL_BUCKET,GLM,45,45,0,8,11,26,0.0,93.06,51.18,0.0,3.85,37.78,32.53,4.44,0.0,0.0,16,13,3,3,0,0,50.0,0,0.0
MODEL_BUCKET,Kimi,35,35,0,9,13,13,4.76,63.57,37.54,4.37,0.9,34.29,25.23,0.0,5.71,5.71,16,6,2,4,2,1,33.33,0,0.0
MODEL_BUCKET,Qwen,45,45,0,16,29,0,0.0,47.22,25.98,0.0,0.0,34.44,18.51,0.0,0.0,0.0,15,15,3,12,8,4,20.0,0,0.0
DRUG,硝苯地平控释片30mg,189,189,0,77,57,55,23.63,78.9,55.22,8.48,22.33,50.13,40.93,26.46,26.46,25.4,63,50,23,20,10,6,53.49,0,0.0
MANUFACTURER_PAIR,unknown,16,16,0,0,0,16,0.0,98.44,54.14,0.0,0.0,14.06,29.92,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 一品红,11,11,0,5,2,4,22.73,62.5,46.5,7.91,23.83,50.0,36.28,27.27,27.27,27.27,4,3,1,1,1,0,50.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 久保平,11,11,0,3,4,4,22.73,71.59,51.45,7.91,23.41,47.73,38.44,27.27,27.27,27.27,4,3,2,0,0,0,100.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 亚宝,12,12,0,5,6,1,22.22,90.62,61.05,7.25,21.21,58.33,44.75,25.0,25.0,25.0,4,4,0,4,2,1,0.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 亿普,11,11,0,5,4,2,22.73,79.55,55.77,7.91,30.08,52.27,42.36,36.36,27.27,27.27,4,3,3,0,0,0,100.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 君保泰,11,11,0,4,3,4,24.24,60.23,45.3,11.09,24.36,45.45,35.82,27.27,27.27,27.27,4,3,1,1,1,0,50.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 奈特,10,10,0,5,2,3,26.67,60.0,46.45,8.7,25.46,52.5,37.3,30.0,30.0,30.0,4,2,1,1,0,1,50.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 奥赛定,12,12,0,8,2,2,22.22,73.96,51.93,7.25,21.46,56.25,39.77,25.0,25.0,25.0,4,4,2,2,0,1,50.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 居安诺,11,11,0,5,2,4,24.24,78.41,55.3,8.91,21.33,47.73,40.52,27.27,27.27,18.18,4,3,1,1,0,1,50.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 得欣通,10,10,0,5,4,1,26.67,87.5,61.63,8.7,23.46,52.5,44.78,30.0,30.0,30.0,4,3,1,2,1,0,33.33,0,0.0
MANUFACTURER_PAIR,拜新同 vs 拜新同,8,8,0,5,0,3,33.33,87.5,64.79,10.88,30.99,56.25,48.6,37.5,37.5,37.5,3,2,2,0,0,0,100.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 易释,11,11,0,4,4,3,39.39,61.36,54.21,21.82,26.89,56.82,44.11,27.27,45.45,45.45,4,3,1,1,1,0,50.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 欣然,10,10,0,1,7,2,28.33,77.5,56.07,8.7,24.04,55.0,42.74,30.0,30.0,30.0,4,3,2,1,1,0,66.67,0,0.0
MANUFACTURER_PAIR,拜新同 vs 欣适平,10,10,0,3,7,0,28.33,87.5,61.57,8.7,33.75,57.5,47.4,40.0,30.0,30.0,4,3,3,0,0,0,100.0,0,0.0
MANUFACTURER_PAIR,拜新同 vs 立方,12,12,0,5,5,2,25.0,88.54,59.76,8.17,19.55,58.33,44.58,25.0,25.0,16.67,4,4,1,2,2,0,33.33,0,0.0
MANUFACTURER_PAIR,拜新同 vs 贝奇康,11,11,0,7,2,2,24.24,88.64,61.02,7.91,24.36,54.55,44.75,27.27,27.27,27.27,4,3,1,2,0,1,33.33,0,0.0
MANUFACTURER_PAIR,拜新同 vs 赛新同,12,12,0,7,3,2,23.61,79.17,54.7,7.25,20.11,54.17,40.99,25.0,25.0,25.0,4,4,1,2,1,1,33.33,0,0.0
FORMAT,.docx,66,66,0,44,5,17,67.68,99.43,88.54,24.27,61.31,78.79,71.36,72.73,75.76,72.73,0,0,0,0,0,0,0.0,0,0.0
FORMAT,.md,123,123,0,33,52,38,0.0,67.89,37.34,0.0,1.41,34.76,24.6,1.63,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0
