source_folder,source_file,model,model_display_name,run_id,source_id,include_for_fig3,notes
chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-1.docx,gpt-5-mini,GPT-5-mini,01_vs_01_rep01,01,1,inferred_from_folder_chat_gpt
chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-2.docx,gpt-5-mini,GPT-5-mini,01_vs_01_rep02,01,1,inferred_from_folder_chat_gpt
chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1-3.docx,gpt-5-mini,GPT-5-mini,01_vs_01_rep03,01,1,inferred_from_folder_chat_gpt
chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-1.docx,gpt-5-mini,GPT-5-mini,01_vs_02_rep01,02,1,inferred_from_folder_chat_gpt
chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-2.docx,gpt-5-mini,GPT-5-mini,01_vs_02_rep02,02,1,inferred_from_folder_chat_gpt
chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs02-硝苯地平控释片30mg-易释-2506K003-Side-36h-750X-1-3.docx,gpt-5-mini,GPT-5-mini,01_vs_02_rep03,02,1,inferred_from_folder_chat_gpt
chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-1.docx,gpt-5-mini,GPT-5-mini,01_vs_03_rep01,03,1,inferred_from_folder_chat_gpt
chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-2.docx,gpt-5-mini,GPT-5-mini,01_vs_03_rep02,03,1,inferred_from_folder_chat_gpt
chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs03-硝苯地平控释片30mg-奈特-240419111-Side-36h-750X-1-3.docx,gpt-5-mini,GPT-5-mini,01_vs_03_rep03,03,1,inferred_from_folder_chat_gpt
chat gpt,01-硝苯地平控释片30mg-拜新同-BJ86516-Side-36h-750X-1vs04-硝苯地平控释片30mg-欣适平-58-240203-Side-36h-750X-1-1.docx,gpt-5-mini,GPT-5-mini,01_vs_04_rep01,04,1,inferred_from_folder_chat_gpt
