formulation_group,replicate_id,time_h,absorbance
Standard,std_1,0,0.0
Standard,std_1,1,0.03
Standard,std_1,2,0.07
Standard,std_1,4,0.18
Standard,std_1,6,0.11
Standard,std_1,8,0.05
Standard,std_2,0,0.0
Standard,std_2,1,0.032
Standard,std_2,2,0.073
Standard,std_2,4,0.185
Standard,std_2,6,0.112
Standard,std_2,8,0.052
Standard,std_3,0,0.0
Standard,std_3,1,0.028
Standard,std_3,2,0.068
Standard,std_3,4,0.176
Standard,std_3,6,0.108
Standard,std_3,8,0.048
gpt-5-mini,gpt_1,0,0.0
gpt-5-mini,gpt_1,1,0.05
gpt-5-mini,gpt_1,2,0.12
gpt-5-mini,gpt_1,4,0.26
gpt-5-mini,gpt_1,6,0.15
gpt-5-mini,gpt_1,8,0.06
gpt-5-mini,gpt_2,0,0.0
gpt-5-mini,gpt_2,1,0.052
gpt-5-mini,gpt_2,2,0.124
gpt-5-mini,gpt_2,4,0.266
gpt-5-mini,gpt_2,6,0.154
gpt-5-mini,gpt_2,8,0.062
gpt-5-mini,gpt_3,0,0.0
gpt-5-mini,gpt_3,1,0.048
gpt-5-mini,gpt_3,2,0.116
gpt-5-mini,gpt_3,4,0.252
gpt-5-mini,gpt_3,6,0.147
gpt-5-mini,gpt_3,8,0.058
qwen3.6-plus,qwen_1,0,0.0
qwen3.6-plus,qwen_1,1,0.045
qwen3.6-plus,qwen_1,2,0.11
qwen3.6-plus,qwen_1,4,0.24
qwen3.6-plus,qwen_1,6,0.142
qwen3.6-plus,qwen_1,8,0.057
qwen3.6-plus,qwen_2,0,0.0
qwen3.6-plus,qwen_2,1,0.047
qwen3.6-plus,qwen_2,2,0.113
qwen3.6-plus,qwen_2,4,0.244
qwen3.6-plus,qwen_2,6,0.145
qwen3.6-plus,qwen_2,8,0.058
qwen3.6-plus,qwen_3,0,0.0
qwen3.6-plus,qwen_3,1,0.043
qwen3.6-plus,qwen_3,2,0.107
qwen3.6-plus,qwen_3,4,0.236
qwen3.6-plus,qwen_3,6,0.139
qwen3.6-plus,qwen_3,8,0.055
glm-4.6v,glm_1,0,0.0
glm-4.6v,glm_1,1,0.04
glm-4.6v,glm_1,2,0.098
glm-4.6v,glm_1,4,0.215
glm-4.6v,glm_1,6,0.132
glm-4.6v,glm_1,8,0.053
glm-4.6v,glm_2,0,0.0
glm-4.6v,glm_2,1,0.041
glm-4.6v,glm_2,2,0.101
glm-4.6v,glm_2,4,0.219
glm-4.6v,glm_2,6,0.134
glm-4.6v,glm_2,8,0.054
glm-4.6v,glm_3,0,0.0
glm-4.6v,glm_3,1,0.039
glm-4.6v,glm_3,2,0.096
glm-4.6v,glm_3,4,0.211
glm-4.6v,glm_3,6,0.129
glm-4.6v,glm_3,8,0.052
kimi-k2.5,kimi_1,0,0.0
kimi-k2.5,kimi_1,1,0.035
kimi-k2.5,kimi_1,2,0.09
kimi-k2.5,kimi_1,4,0.2
kimi-k2.5,kimi_1,6,0.125
kimi-k2.5,kimi_1,8,0.05
kimi-k2.5,kimi_2,0,0.0
kimi-k2.5,kimi_2,1,0.036
kimi-k2.5,kimi_2,2,0.092
kimi-k2.5,kimi_2,4,0.204
kimi-k2.5,kimi_2,6,0.127
kimi-k2.5,kimi_2,8,0.051
kimi-k2.5,kimi_3,0,0.0
kimi-k2.5,kimi_3,1,0.034
kimi-k2.5,kimi_3,2,0.088
kimi-k2.5,kimi_3,4,0.196
kimi-k2.5,kimi_3,6,0.122
kimi-k2.5,kimi_3,8,0.049
