source_file,formulation_group,formulation_label,drug_label,replicate_file_id,measurement_id,sample_index,time_h,duration_h,absorbance,include_for_fig5b,manual_mapping_used,parsing_status
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,1,0.5,0.5,0.008,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,2,1.0,0.5,0.052,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,3,2.0,1.0,0.139,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,4,4.0,2.0,0.446,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,5,6.0,2.0,0.256,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,6,8.0,2.0,0.043,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,7,12.0,4.0,0.016,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,8,16.0,4.0,0.009,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,9,20.0,4.0,0.012,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas1,10,24.0,4.0,0.005,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,1,0.5,0.5,0.004,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,2,1.0,0.5,0.053,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,3,2.0,1.0,0.139,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,4,4.0,2.0,0.445,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,5,6.0,2.0,0.253,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,6,8.0,2.0,0.043,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,7,12.0,4.0,0.023,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,8,16.0,4.0,0.008,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,9,20.0,4.0,0.006,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas2,10,24.0,4.0,0.004,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,1,0.5,0.5,0.004,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,2,1.0,0.5,0.047,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,3,2.0,1.0,0.136,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,4,4.0,2.0,0.453,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,5,6.0,2.0,0.253,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,6,8.0,2.0,0.045,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,7,12.0,4.0,0.017,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,8,16.0,4.0,0.009,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,9,20.0,4.0,0.004,yes,False,auto_parsed
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,meas3,10,24.0,4.0,0.005,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,1,0.5,0.5,0.033,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,2,1.0,0.5,0.052,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,3,2.0,1.0,0.168,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,4,4.0,2.0,0.517,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,5,6.0,2.0,0.551,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,6,8.0,2.0,0.074,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,7,12.0,4.0,0.018,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,8,16.0,4.0,0.01,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,9,20.0,4.0,0.009,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas1,10,24.0,4.0,0.0,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,1,0.5,0.5,0.032,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,2,1.0,0.5,0.051,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,3,2.0,1.0,0.167,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,4,4.0,2.0,0.514,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,5,6.0,2.0,0.555,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,6,8.0,2.0,0.079,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,7,12.0,4.0,0.017,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,8,16.0,4.0,0.01,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,9,20.0,4.0,0.007,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas2,10,24.0,4.0,0.001,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,1,0.5,0.5,0.031,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,2,1.0,0.5,0.053,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,3,2.0,1.0,0.169,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,4,4.0,2.0,0.515,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,5,6.0,2.0,0.553,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,6,8.0,2.0,0.08,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,7,12.0,4.0,0.015,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,8,16.0,4.0,0.023,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,9,20.0,4.0,-0.003,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,10,24.0,4.0,-0.005,yes,False,auto_parsed
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,1,0.5,0.5,0.001,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,2,1.0,0.5,0.018,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,3,2.0,1.0,0.168,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,4,4.0,2.0,0.646,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,5,6.0,2.0,0.392,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,6,8.0,2.0,0.03,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,7,12.0,4.0,0.016,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,8,16.0,4.0,0.0,yes,True,manual_mapping
